domain,label,tld,source,registrable,tier,registration_cost,renewal_cost,currency,reason,checked_at_utc
dotseat.com,dotseat,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
handdot.com,handdot,com,prefix+root+root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
seatdot.com,seatdot,com,prefix+root+root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
chalkkit.com,chalkkit,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
chartdot.com,chartdot,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
classdot.com,classdot,com,exact+prefix+root+root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
counttap.com,counttap,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
dottally.com,dottally,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
rollseat.com,rollseat,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
roomhand.com,roomhand,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
roomseat.com,roomseat,com,prefix+root+root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
seathand.com,seathand,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
seatturn.com,seatturn,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
tallymat.com,tallymat,com,exact,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
tapaface.com,tapaface,com,exact,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
taptapir.com,taptapir,com,exact,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
chalkgrid.com,chalkgrid,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
chalkhand.com,chalkhand,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
chalkroll.com,chalkroll,com,prefix+root+root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
chalkseat.com,chalkseat,com,prefix+root+root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
chalkturn.com,chalkturn,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
chartseat.com,chartseat,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
classturn.com,classturn,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
countmark.com,countmark,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
countnote.com,countnote,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
countseat.com,countseat,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
deskchalk.com,deskchalk,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
deskraise.com,deskraise,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
fairturns.com,fairturns,com,exact,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
handchalk.com,handchalk,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
markclass.com,markclass,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
marktally.com,marktally,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
noticedot.com,noticedot,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
noticetap.com,noticetap,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
raiseseat.com,raiseseat,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
rolltally.com,rolltally,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
roomchalk.com,roomchalk,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
seatchalk.com,seatchalk,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
seatraise.com,seatraise,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
seatvoice.com,seatvoice,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
spottally.com,spottally,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
tallybeat.com,tallybeat,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
turnchart.com,turnchart,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
turnclass.com,turnclass,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
voiceseat.com,voiceseat,com,root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
chalkchalk.com,chalkchalk,com,prefix+root,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
chalkclass.com,chalkclass,com,prefix+root+root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
chalkcount.com,chalkcount,com,prefix+root+root+ending,True,standard,10.46,10.46,USD,,2026-08-25T16:47:49+00:00
